,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
41,002028.SZ,20201201,22.6,23.29,22.58,23.28,22.71,0.57,2.5099,124919.18,288368.875
40,002028.SZ,20201202,23.3,23.43,22.9,23.19,23.28,-0.09,-0.3866,112771.89,260348.064
39,002028.SZ,20201203,23.19,23.25,22.82,22.9,23.19,-0.29,-1.2505,91500.39,209848.104
38,002028.SZ,20201204,22.83,23.01,22.6,22.82,22.9,-0.08,-0.3493,73159.72,166340.665
37,002028.SZ,20201207,22.76,22.94,22.55,22.59,22.82,-0.23,-1.0079,73933.46,167665.46
36,002028.SZ,20201208,22.55,22.83,22.46,22.66,22.59,0.07,0.3099,65279.07,147531.301
35,002028.SZ,20201209,22.6,22.6,21.6,21.72,22.66,-0.94,-4.1483,114720.07,254005.561
34,002028.SZ,20201210,21.79,21.85,21.39,21.45,21.72,-0.27,-1.2431,99590.88,214747.883
33,002028.SZ,20201211,21.48,21.55,20.58,20.78,21.45,-0.67,-3.1235,112556.47,235464.486
32,002028.SZ,20201214,20.85,21.18,20.7,20.93,20.78,0.15,0.7218,71696.38,149600.667
31,002028.SZ,20201215,20.81,20.97,20.73,20.9,20.93,-0.03,-0.1433,64285.32,133928.892
30,002028.SZ,20201216,20.95,20.95,20.52,20.63,20.9,-0.27,-1.2919,60726.65,125747.378
29,002028.SZ,20201217,20.64,21.08,20.36,20.93,20.63,0.3,1.4542,89920.08,186814.343
28,002028.SZ,20201218,20.96,21.11,20.63,20.75,20.93,-0.18,-0.86,78225.61,163095.284
27,002028.SZ,20201221,20.78,21.36,20.67,21.13,20.75,0.38,1.8313,142479.28,300211.855
26,002028.SZ,20201222,21.1,21.63,21.0,21.02,21.13,-0.11,-0.5206,154153.1,328627.343
25,002028.SZ,20201223,21.28,21.68,20.88,21.42,21.02,0.4,1.9029,164325.61,350751.728
24,002028.SZ,20201224,21.6,21.79,21.09,21.12,21.42,-0.3,-1.4006,126014.05,269556.945
23,002028.SZ,20201225,21.05,21.09,20.51,20.73,21.12,-0.39,-1.8466,115799.22,240587.117
22,002028.SZ,20201228,20.79,20.89,19.37,19.51,20.73,-1.22,-5.8852,244983.18,487402.11
21,002028.SZ,20201229,19.51,20.4,19.37,19.86,19.51,0.35,1.794,159932.86,318428.938
20,002028.SZ,20201230,19.7,20.06,19.41,19.91,19.86,0.05,0.2518,124523.65,246415.046
19,002028.SZ,20201231,19.91,20.28,19.75,20.06,19.91,0.15,0.7534,128535.12,257194.547
18,002028.SZ,20210104,20.06,20.92,19.97,20.92,20.06,0.86,4.2871,237633.66,485916.105
17,002028.SZ,20210105,20.85,20.85,20.1,20.61,20.92,-0.31,-1.4818,200940.92,410268.163
16,002028.SZ,20210106,20.63,20.66,19.9,19.95,20.61,-0.66,-3.2023,180665.98,362337.472
15,002028.SZ,20210107,19.88,19.95,18.99,19.42,19.95,-0.53,-2.6566,192527.62,375052.301
14,002028.SZ,20210108,19.49,19.69,18.94,19.32,19.42,-0.1,-0.5149,122146.04,235833.304
13,002028.SZ,20210111,19.44,19.48,18.79,18.86,19.32,-0.46,-2.381,173028.12,329030.272
12,002028.SZ,20210112,19.1,20.75,18.88,20.75,18.86,1.89,10.0212,473578.33,964751.845
11,002028.SZ,20210113,20.63,22.09,20.58,21.75,20.75,1.0,4.8193,610205.87,1305944.535
10,002028.SZ,20210114,21.53,21.75,20.8,21.43,21.75,-0.32,-1.4713,322841.66,688369.951
9,002028.SZ,20210115,21.41,21.66,20.96,21.45,21.43,0.02,0.0933,193153.23,411660.576
8,002028.SZ,20210118,21.2,21.2,19.31,20.1,21.45,-1.35,-6.2937,528590.04,1050252.176
7,002028.SZ,20210119,19.95,20.92,19.85,20.16,20.1,0.06,0.2985,264686.7,537587.106
6,002028.SZ,20210120,20.0,20.45,19.65,20.36,20.16,0.2,0.9921,245758.91,493374.44
5,002028.SZ,20210121,20.16,22.4,20.16,21.95,20.36,1.59,7.8094,583814.29,1286182.058
4,002028.SZ,20210122,21.98,22.35,21.41,22.2,21.95,0.25,1.139,405196.59,885585.606
3,002028.SZ,20210125,22.21,23.16,21.87,22.74,22.2,0.54,2.4324,377479.11,855321.883
2,002028.SZ,20210126,22.47,23.18,22.24,22.51,22.74,-0.23,-1.0114,260963.44,593243.474
1,002028.SZ,20210127,22.91,22.98,21.61,22.28,22.51,-0.23,-1.0218,298362.25,660477.558
0,002028.SZ,20210128,21.81,22.36,21.35,21.36,22.28,-0.92,-4.1293,246307.46,534487.587
