,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
40,000966.SZ,20201201,4.06,4.07,3.98,4.02,4.08,-0.06,-1.4706,228716.65,91675.399
39,000966.SZ,20201202,4.0,4.0,3.93,3.97,4.02,-0.05,-1.2438,192488.16,76161.991
38,000966.SZ,20201203,3.96,3.99,3.92,3.98,3.97,0.01,0.2519,135688.42,53574.163
37,000966.SZ,20201204,3.94,3.96,3.89,3.89,3.98,-0.09,-2.2613,133208.65,52150.272
36,000966.SZ,20201207,3.89,3.92,3.82,3.82,3.89,-0.07,-1.7995,120076.79,46264.3
35,000966.SZ,20201208,3.81,3.84,3.78,3.83,3.82,0.01,0.2618,87524.55,33351.805
34,000966.SZ,20201209,3.82,3.83,3.71,3.73,3.83,-0.1,-2.611,145395.7,54743.425
33,000966.SZ,20201210,3.72,3.77,3.7,3.73,3.73,0.0,0.0,81378.54,30366.859
32,000966.SZ,20201211,3.72,3.73,3.65,3.66,3.73,-0.07,-1.8767,86128.04,31667.56
31,000966.SZ,20201214,3.67,3.75,3.67,3.69,3.66,0.03,0.8197,74437.0,27612.411
30,000966.SZ,20201215,3.69,3.73,3.65,3.71,3.69,0.02,0.542,66533.43,24514.217
29,000966.SZ,20201216,3.71,3.73,3.68,3.69,3.71,-0.02,-0.5391,57345.0,21234.696
28,000966.SZ,20201217,3.7,3.79,3.69,3.76,3.69,0.07,1.897,116689.88,43706.284
27,000966.SZ,20201218,3.84,3.92,3.76,3.77,3.76,0.01,0.266,250495.69,96018.655
26,000966.SZ,20201221,3.84,4.1,3.8,3.96,3.77,0.19,5.0398,350611.28,138246.941
25,000966.SZ,20201222,3.95,4.06,3.87,3.87,3.96,-0.09,-2.2727,253956.69,100013.503
24,000966.SZ,20201223,3.87,4.26,3.86,4.17,3.87,0.3,7.7519,649492.44,265783.079
23,000966.SZ,20201224,4.13,4.13,3.96,4.04,4.17,-0.13,-3.1175,465753.32,187540.303
22,000966.SZ,20201225,4.08,4.44,4.03,4.26,4.04,0.22,5.4455,722940.25,309097.11
21,000966.SZ,20201228,4.21,4.22,4.09,4.19,4.26,-0.07,-1.6432,477713.61,198719.232
20,000966.SZ,20201229,4.18,4.18,3.94,3.95,4.19,-0.24,-5.7279,421641.0,169685.338
19,000966.SZ,20201230,3.95,4.12,3.94,4.01,3.95,0.06,1.519,318385.7,128991.06
18,000966.SZ,20201231,4.05,4.08,3.96,4.02,4.01,0.01,0.2494,225681.38,90577.44
17,000966.SZ,20210104,3.97,4.04,3.92,4.01,4.02,-0.01,-0.2488,209684.05,83810.046
16,000966.SZ,20210105,4.0,4.02,3.9,3.96,4.01,-0.05,-1.2469,215037.52,85274.223
15,000966.SZ,20210106,3.96,4.26,3.9,4.17,3.96,0.21,5.303,451126.49,183873.711
14,000966.SZ,20210107,4.08,4.18,3.96,3.99,4.17,-0.18,-4.3165,325373.75,132009.329
13,000966.SZ,20210108,3.93,3.98,3.86,3.89,3.99,-0.1,-2.5063,194210.82,75853.545
12,000966.SZ,20210111,3.89,3.93,3.69,3.71,3.89,-0.18,-4.6272,243281.94,91956.6
11,000966.SZ,20210112,3.71,3.78,3.71,3.75,3.71,0.04,1.0782,99208.2,37190.06
10,000966.SZ,20210113,3.76,3.81,3.7,3.78,3.75,0.03,0.8,120200.64,45241.279
9,000966.SZ,20210114,3.77,3.78,3.73,3.74,3.78,-0.04,-1.0582,82798.86,31023.979
8,000966.SZ,20210115,3.74,3.77,3.73,3.77,3.74,0.03,0.8021,69994.62,26291.955
7,000966.SZ,20210118,3.77,3.95,3.75,3.87,3.77,0.1,2.6525,146919.17,56700.971
6,000966.SZ,20210119,3.83,3.86,3.8,3.81,3.87,-0.06,-1.5504,127146.0,48605.554
5,000966.SZ,20210120,3.81,3.82,3.76,3.76,3.81,-0.05,-1.3123,86427.23,32685.176
4,000966.SZ,20210121,3.75,3.78,3.74,3.75,3.76,-0.01,-0.266,84774.0,31922.359
3,000966.SZ,20210122,3.73,3.75,3.68,3.72,3.75,-0.03,-0.8,104995.09,39007.149
2,000966.SZ,20210125,3.79,3.84,3.76,3.8,3.72,0.08,2.1505,175264.26,66433.532
1,000966.SZ,20210126,3.81,3.81,3.74,3.78,3.8,-0.02,-0.5263,74660.2,28126.825
0,000966.SZ,20210127,3.78,3.83,3.75,3.77,3.78,-0.01,-0.2646,134311.6,50644.11
